ASO,Lane,43kDa_TDP-43,32kDa_TDP-43,GAPDH,43kDa_TDP-43 43kDtoGAPDH,32kDa_TDP-43 43kDtoGAPDH,43kDa_TDP-43 43kDtoGAPDH_r,32kDa_TDP-43 43kDtoGAPDH_r
Ctrl,1,29078052,8652766,34125890,0.852081865,0.253554296,1.075506063,0.729648767
Ctrl,2,25690525,12673226,36614680,0.701645488,0.346124178,0.885623796,0.996035499
Ctrl,3,25855007.5,12479290,31555181,0.819358555,0.395475152,1.03420238,1.138051936
Ctrl,4,25823863,12810514.5,32443693,0.795959418,0.39485377,1.004667761,1.136263797
m1,5,31853556.5,5248410,27574225,1.155193174,0.190337534,1.458096121,0.547730998
m1,6,39227523.5,3347721,25322841,1.549096466,0.132201636,1.955284708,0.380434338
m1,7,36405258.5,4487803.5,30306503,1.20123587,0.148080546,1.516211662,0.426128799
m1,8,37129904,4722082,31563125.5,1.176369685,0.149607554,1.48482532,0.430523044
